-4.00,-3.94,-3.70,-3.27,-3.85,-4.21,-3.93,-3.97,-3.87,-3.94,-4.05,-4.17,-3.35,-3.56,-3.27,-3.72,-3.62,-3.36,-3.32,-4.32,
-4.28,-4.25,-4.08,-4.28,-3.93,-4.47,-4.22,-4.55,-4.50,-4.81,-3.84,-4.34,-3.89,-3.77,-3.80,-4.38,-4.51,-3.90,-3.87,-4.53,
-4.28,-4.50,-4.26,-4.58,-4.30,-4.65,-4.48,-5.10,-4.71,-4.49,-4.32,-4.61,-4.40,-4.23,-4.32,-4.81,-4.59,-4.42,-4.54,-4.62,
-3.59,-3.66,-3.67,-4.21,-3.82,-3.85,-3.66,-4.01,-4.48,-4.51,-4.07,-3.66,-3.87,-4.68,-4.60,-5.20,-3.85,-3.88,-4.82,-4.32,
-4.06,-3.36,-4.09,-4.51,-4.28,-3.67,-3.37,-3.86,-5.18,-4.44,-3.34,-3.27,-3.33,-3.56,-3.56,-4.46,-3.46,-3.33,-3.73,-5.19,
-3.93,-3.84,-4.31,-4.82,-3.99,-4.83,-3.82,-4.86,-2.30,-3.36,-3.41,-3.73,-3.05,-3.60,-3.65,-4.68,-3.64,-3.04,-2.99,-2.52,
-2.27,-2.34,-2.29,-2.28,-2.14,-3.15,-2.36,-2.72,-1.89,-2.82,-3.73,-2.42,-3.00,-3.10,-3.11,-4.43,-2.76,-3.01,-2.30,-1.08,
-3.95,-2.40,-4.32,-4.47,-2.97,-3.20,-2.39,-3.33,-2.12,-2.09,-3.53,-2.46,-3.21,-3.20,-3.45,-4.54,-2.58,-3.23,-2.52,-3.06,
-1.06,-2.21,-1.49,-1.53,-1.30,-1.94,-2.20,-1.61,-1.77,-2.29,-4.53,-2.26,-2.31,-4.99,-4.67,-4.85,-2.39,-2.31,-2.40,-1.43,
-3.08,-2.16,-3.08,-2.95,-2.15,-1.54,-2.15,-1.55,-1.83,-3.00,-4.65,-2.17,-2.18,-5.07,-4.85,-4.78,-2.29,-2.18,-2.81,-3.38,
-2.56,-3.49,-3.16,-2.54,-3.10,-3.44,-3.48,-2.72,-2.86,-3.58,-5.02,-3.47,-3.00,-5.70,-5.67,-5.19,-3.27,-3.00,-3.43,-3.13,
-2.76,-2.71,-3.26,-2.87,-2.71,-2.20,-2.71,-2.14,-2.11,-3.25,-4.70,-2.70,-2.55,-5.27,-5.06,-4.86,-2.69,-2.55,-2.88,-3.02,
